# [1]Depth	[2]Cumulative number of genotypes	[3]Number of genotypes
0	0.297619	0.297619
1	18.179563	17.881944
2	36.780753	18.601190
3	46.403769	9.623016
4	54.042658	7.638889
5	59.449404	5.406746
6	64.310515	4.861111
7	67.311507	3.000992
8	70.188491	2.876984
9	71.874999	1.686508
10	73.759920	1.884921
11	75.124007	1.364087
12	76.562499	1.438492
13	77.976189	1.413690
14	79.117062	1.140873
15	79.885911	0.768849
16	80.877974	0.992063
17	81.299601	0.421627
18	82.167657	0.868056
19	82.886903	0.719246
20	83.630951	0.744048
21	84.102181	0.471230
22	84.598213	0.496032
23	85.044642	0.446429
24	85.540674	0.496032
25	86.086309	0.545635
26	86.507936	0.421627
27	86.954365	0.446429
28	87.351190	0.396825
29	87.723214	0.372024
30	88.120039	0.396825
31	88.616071	0.496032
32	88.888888	0.272817
33	89.037698	0.148810
34	89.211309	0.173611
35	89.459325	0.248016
36	89.608135	0.148810
37	89.732143	0.124008
38	89.856151	0.124008
39	90.178572	0.322421
40	90.178572	0.000000
41	90.327382	0.148810
42	90.401787	0.074405
43	90.674604	0.272817
44	90.823414	0.148810
45	91.021827	0.198413
46	91.245041	0.223214
47	91.393851	0.148810
48	91.592264	0.198413
49	91.716272	0.124008
50	91.790677	0.074405
51	91.865082	0.074405
52	91.989090	0.124008
53	92.187503	0.198413
54	92.336313	0.148810
55	92.460321	0.124008
56	92.509924	0.049603
57	92.584329	0.074405
58	92.683535	0.099206
59	92.708337	0.024802
60	92.857147	0.148810
61	92.906750	0.049603
62	92.931552	0.024802
63	92.956354	0.024802
64	93.005957	0.049603
65	93.030759	0.024802
66	93.129965	0.099206
67	93.229171	0.099206
68	93.253973	0.024802
69	93.278775	0.024802
70	93.353180	0.074405
71	93.377982	0.024802
72	93.477188	0.099206
73	93.526791	0.049603
74	93.601196	0.074405
75	93.625998	0.024802
76	93.650800	0.024802
77	93.675602	0.024802
78	93.725205	0.049603
80	93.750007	0.024802
81	93.824412	0.074405
82	93.948420	0.124008
83	94.022825	0.074405
84	94.047627	0.024802
85	94.122032	0.074405
86	94.171635	0.049603
87	94.295643	0.124008
88	94.320445	0.024802
89	94.370048	0.049603
90	94.394850	0.024802
91	94.419652	0.024802
92	94.469255	0.049603
93	94.469255	0.000000
94	94.494057	0.024802
95	94.494057	0.000000
96	94.494057	0.000000
97	94.494057	0.000000
98	94.618065	0.124008
99	94.642867	0.024802
100	94.642867	0.000000
101	94.642867	0.000000
102	94.667669	0.024802
103	94.717272	0.049603
104	94.717272	0.000000
105	94.717272	0.000000
106	94.742074	0.024802
107	94.791677	0.049603
108	94.791677	0.000000
109	94.816479	0.024802
110	94.866082	0.049603
111	94.890884	0.024802
113	94.890884	0.000000
114	94.915686	0.024802
115	94.915686	0.000000
116	94.940488	0.024802
117	94.965290	0.024802
118	94.990092	0.024802
119	94.990092	0.000000
120	94.990092	0.000000
122	95.014894	0.024802
123	95.089299	0.074405
124	95.114101	0.024802
126	95.188506	0.074405
127	95.188506	0.000000
128	95.213308	0.024802
129	95.213308	0.000000
130	95.262911	0.049603
133	95.262911	0.000000
136	95.287713	0.024802
137	95.362118	0.074405
138	95.386920	0.024802
139	95.411722	0.024802
141	95.461325	0.049603
142	95.510928	0.049603
144	95.585333	0.074405
145	95.634936	0.049603
146	95.659738	0.024802
147	95.684540	0.024802
148	95.709342	0.024802
149	95.709342	0.000000
150	95.734144	0.024802
151	95.758946	0.024802
152	95.783748	0.024802
153	95.783748	0.000000
154	95.808550	0.024802
155	95.833352	0.024802
156	95.858154	0.024802
157	95.882956	0.024802
159	95.882956	0.000000
160	95.982162	0.099206
161	96.006964	0.024802
162	96.031766	0.024802
163	96.130972	0.099206
164	96.130972	0.000000
165	96.155774	0.024802
166	96.205377	0.049603
167	96.230179	0.024802
168	96.254981	0.024802
169	96.279783	0.024802
170	96.329386	0.049603
171	96.329386	0.000000
173	96.378989	0.049603
176	96.378989	0.000000
177	96.403791	0.024802
178	96.453394	0.049603
179	96.453394	0.000000
180	96.478196	0.024802
181	96.527799	0.049603
182	96.552601	0.024802
184	96.602204	0.049603
186	96.627006	0.024802
187	96.651808	0.024802
188	96.651808	0.000000
189	96.701411	0.049603
190	96.726213	0.024802
191	96.751015	0.024802
192	96.775817	0.024802
193	96.775817	0.000000
194	96.775817	0.000000
197	96.800619	0.024802
202	96.850222	0.049603
203	96.850222	0.000000
204	96.899825	0.049603
206	96.924627	0.024802
207	96.924627	0.000000
208	96.924627	0.000000
209	96.949429	0.024802
212	96.974231	0.024802
213	96.999033	0.024802
222	96.999033	0.000000
224	96.999033	0.000000
225	97.023835	0.024802
229	97.023835	0.000000
230	97.048637	0.024802
231	97.048637	0.000000
233	97.073439	0.024802
234	97.098241	0.024802
236	97.098241	0.000000
239	97.098241	0.000000
240	97.123043	0.024802
241	97.172646	0.049603
242	97.172646	0.000000
243	97.172646	0.000000
245	97.172646	0.000000
246	97.197448	0.024802
248	97.197448	0.000000
250	97.197448	0.000000
252	97.222250	0.024802
254	97.247052	0.024802
255	97.271854	0.024802
257	97.296656	0.024802
258	97.296656	0.000000
259	97.321458	0.024802
261	97.346260	0.024802
262	97.371062	0.024802
263	97.371062	0.000000
264	97.395864	0.024802
266	97.445467	0.049603
267	97.445467	0.000000
274	97.470269	0.024802
275	97.544674	0.074405
278	97.569476	0.024802
279	97.594278	0.024802
283	97.619080	0.024802
284	97.619080	0.000000
286	97.619080	0.000000
287	97.668683	0.049603
290	97.668683	0.000000
292	97.668683	0.000000
293	97.693485	0.024802
294	97.718287	0.024802
295	97.718287	0.000000
297	97.743089	0.024802
299	97.767891	0.024802
300	97.792693	0.024802
302	97.792693	0.000000
303	97.792693	0.000000
304	97.817495	0.024802
305	97.817495	0.000000
306	97.817495	0.000000
308	97.817495	0.000000
309	97.842297	0.024802
312	97.842297	0.000000
318	97.842297	0.000000
319	97.842297	0.000000
324	97.842297	0.000000
325	97.842297	0.000000
326	97.867099	0.024802
327	97.867099	0.000000
328	97.867099	0.000000
331	97.867099	0.000000
333	97.867099	0.000000
342	97.916702	0.049603
343	97.916702	0.000000
345	97.916702	0.000000
347	97.916702	0.000000
350	97.941504	0.024802
352	97.966306	0.024802
353	97.966306	0.000000
356	97.966306	0.000000
358	97.966306	0.000000
359	97.991108	0.024802
364	98.015910	0.024802
366	98.015910	0.000000
378	98.015910	0.000000
381	98.015910	0.000000
384	98.040712	0.024802
389	98.065514	0.024802
393	98.090316	0.024802
396	98.115118	0.024802
402	98.139920	0.024802
414	98.139920	0.000000
416	98.139920	0.000000
417	98.164722	0.024802
421	98.164722	0.000000
431	98.164722	0.000000
433	98.189524	0.024802
437	98.189524	0.000000
438	98.189524	0.000000
440	98.239127	0.049603
