# [1]Indel length	[2]Mean VAF
-60	0.12
-50	0.80
-42	0.88
-34	0.75
-32	0.18
-31	0.32
-29	0.82
-28	0.67
-26	0.72
-24	0.33
-23	0.50
-22	0.75
-21	0.14
-20	0.63
-18	0.47
-17	0.80
-16	0.71
-15	0.16
-14	0.43
-13	0.73
-12	0.56
-11	0.45
-10	0.62
-9	0.39
-8	0.66
-7	0.79
-6	0.52
-5	0.57
-4	0.50
-3	0.42
-2	0.59
-1	0.42
1	0.43
2	0.51
3	0.57
4	0.58
5	0.38
6	0.49
7	0.49
8	0.50
9	0.67
10	0.60
11	0.39
12	0.47
13	0.58
14	0.61
15	0.32
16	0.64
17	0.80
18	0.58
19	0.70
20	0.51
22	0.32
23	0.60
24	0.60
25	0.42
26	0.50
27	0.80
28	0.83
31	0.50
38	0.60
45	0.00
46	0.10
48	0.67
51	0.23
59	0.00
60	0.40
