# [1]Indel length	[2]Count
-60	5
-55	1
-50	1
-49	1
-42	1
-38	1
-36	2
-34	1
-33	2
-32	1
-31	2
-29	2
-28	4
-27	2
-26	6
-24	5
-23	1
-22	10
-21	6
-20	16
-19	3
-18	25
-17	1
-16	19
-15	12
-14	18
-13	5
-12	34
-11	4
-10	43
-9	11
-8	59
-7	11
-6	100
-5	29
-4	127
-3	69
-2	202
-1	246
1	345
2	250
3	92
4	168
5	34
6	76
7	19
8	61
9	14
10	49
11	6
12	37
13	4
14	21
15	14
16	12
17	2
18	15
19	3
20	7
22	4
23	1
24	9
25	2
26	2
27	2
28	1
30	2
31	1
32	2
33	3
34	4
36	3
37	3
38	1
45	1
46	2
48	3
51	1
54	1
55	1
58	1
59	1
60	31
